id,functional_area,det,date,status,title
1,Physical,Det 8,10/8/2022,Closed,eu tincidunt in leo
2,Personnel,Det 7,10/30/2018,Closed,lectus in quam fringilla rhoncus mauris
3,Physical,AFSPC,1/3/2018,Active,vel lectus in quam fringilla rhoncus
4,Physical,Det 1,10/11/2018,Closed,eu felis fusce posuere felis
5,Physical,AFGSC,11/8/2019,Closed,arcu libero rutrum ac
6,Information,ACC,4/22/2021,Closed,orci nullam molestie nibh in
7,Cyber,Det 4,10/29/2021,Closed,rutrum nulla nunc purus phasellus
8,Physical,AFGSC,1/9/2019,Closed,sed vel enim sit amet
9,Information,Det 1,8/13/2018,Active,nam dui proin leo odio porttitor
10,Cyber,Det 4,9/2/2018,Closed,massa tempor convallis nulla neque libero
11,Physical,Det 4,11/15/2020,Closed,aliquam erat volutpat in congue
12,Personnel,AFSPC,10/20/2020,Active,ultrices aliquet maecenas leo odio
13,Personnel,AFMC,5/1/2020,Closed,integer ac neque duis bibendum
14,Cyber,USAFE,7/10/2022,Closed,turpis enim blandit mi in porttitor
15,Personnel,Det 9,5/24/2019,Active,ante ipsum primis in
16,Information,USAFE,4/10/2019,Closed,bibendum morbi non quam nec dui
17,Physical,Det 6,9/3/2021,Active,at feugiat non pretium quis lectus
18,Information,Det 6,3/4/2019,Active,sit amet nunc viverra dapibus nulla
19,Information,ACC,5/13/2020,Active,viverra diam vitae quam
20,Physical,Det 7,12/7/2021,Closed,varius nulla facilisi cras
21,Personnel,Det 8,3/13/2021,Closed,mauris non ligula pellentesque ultrices phasellus
22,Cyber,Det 9,4/1/2020,Closed,nunc proin at turpis
23,Physical,PACAF,11/13/2019,Closed,sociis natoque penatibus et
24,Physical,PACAF,6/11/2018,Active,interdum mauris ullamcorper purus sit amet
25,Cyber,AMC,6/24/2020,Closed,eget congue eget semper rutrum nulla
26,Physical,Det 3,1/20/2019,Active,rhoncus sed vestibulum sit
27,Personnel,Det 8,3/15/2021,Active,praesent blandit lacinia erat
28,Cyber,Det 9,9/11/2019,Active,dapibus at diam nam tristique
29,Information,Det 4,7/19/2022,Active,donec odio justo sollicitudin ut
30,Cyber,ACC,3/3/2022,Active,aliquet maecenas leo odio
31,Information,AFSPC,2/25/2020,Closed,massa tempor convallis nulla neque
32,Personnel,Det 7,10/17/2021,Active,dolor sit amet consectetuer adipiscing elit
33,Information,USAFE,5/4/2019,Closed,nibh in quis justo maecenas rhoncus
34,Information,Det 1,8/30/2022,Active,aliquam augue quam sollicitudin vitae consectetuer
35,Physical,Det 8,12/8/2020,Active,lobortis est phasellus sit
36,Personnel,Det 2,9/28/2021,Active,ut ultrices vel augue vestibulum ante
37,Cyber,AFSPC,8/30/2020,Closed,duis ac nibh fusce lacus
38,Physical,Det 11,9/20/2019,Active,justo lacinia eget tincidunt eget
39,Personnel,PACAF,5/3/2020,Closed,dignissim vestibulum vestibulum ante ipsum primis
40,Information,Det 8,4/3/2020,Closed,faucibus accumsan odio curabitur convallis duis
41,Cyber,Det 11,8/12/2019,Closed,in imperdiet et commodo vulputate justo
42,Physical,Det 1,11/17/2022,Closed,fusce congue diam id ornare
43,Cyber,AFMC,1/10/2020,Closed,sed augue aliquam erat
44,Physical,AFSOC,8/6/2021,Closed,congue diam id ornare imperdiet sapien
